=======Command line arguments=======
N_atoms: 125
n_timesteps: 10000
xyz_file_output_frequency: 100
thermo_output_frequency: 100
====================================
box length: 2.419e+01 Angstrom
density: 8.832e-03 molecules/Ang^3
Beginning simulation....
 Timestep     KE          PE        TotE        Temp   Pressure
      0   3.883e-01  -8.432e-01  -4.54902e-01  150.00  -7.240e-05
    100   2.974e-01  -7.513e-01  -4.53885e-01  114.89  -1.285e-05
    200   3.528e-01  -8.062e-01  -4.53396e-01  136.29  -7.747e-06
    300   3.908e-01  -8.440e-01  -4.53249e-01  150.94  -1.081e-05
    400   3.799e-01  -8.331e-01  -4.53216e-01  146.76  -1.194e-06
    500   3.827e-01  -8.360e-01  -4.53272e-01  147.84  -1.048e-05
    600   3.794e-01  -8.327e-01  -4.53284e-01  146.56  -2.110e-05
    700   3.697e-01  -8.230e-01  -4.53357e-01  142.80  -1.458e-05
    800   3.871e-01  -8.404e-01  -4.53296e-01  149.52  -1.602e-05
    900   3.630e-01  -8.162e-01  -4.53251e-01  140.20  -4.501e-06
   1000   3.714e-01  -8.246e-01  -4.53260e-01  143.45  -7.672e-06
   1100   3.800e-01  -8.333e-01  -4.53280e-01  146.80  -7.565e-06
   1200   3.699e-01  -8.231e-01  -4.53210e-01  142.87  -5.724e-06
   1300   3.857e-01  -8.389e-01  -4.53205e-01  148.99  -1.152e-05
   1400   3.654e-01  -8.186e-01  -4.53244e-01  141.15  -1.018e-06
   1500   3.720e-01  -8.253e-01  -4.53256e-01  143.72  -6.066e-06
   1600   3.839e-01  -8.372e-01  -4.53273e-01  148.31  -9.374e-06
   1700   3.842e-01  -8.375e-01  -4.53293e-01  148.42  -5.658e-06
   1800   3.722e-01  -8.255e-01  -4.53264e-01  143.79  5.271e-06
   1900   3.874e-01  -8.407e-01  -4.53257e-01  149.66  -3.558e-06
   2000   4.006e-01  -8.538e-01  -4.53240e-01  154.73  -5.617e-06
   2100   4.000e-01  -8.533e-01  -4.53221e-01  154.53  -7.870e-06
   2200   3.877e-01  -8.410e-01  -4.53232e-01  149.77  -5.553e-06
   2300   3.809e-01  -8.341e-01  -4.53245e-01  147.12  1.481e-06
   2400   3.795e-01  -8.327e-01  -4.53274e-01  146.58  1.086e-05
   2500   4.231e-01  -8.763e-01  -4.53205e-01  163.44  -7.488e-06
   2600   3.849e-01  -8.381e-01  -4.53165e-01  148.70  5.982e-06
   2700   3.784e-01  -8.316e-01  -4.53242e-01  146.16  7.279e-06
   2800   3.768e-01  -8.301e-01  -4.53238e-01  145.57  4.589e-06
   2900   3.807e-01  -8.340e-01  -4.53261e-01  147.07  -4.137e-06
   3000   3.850e-01  -8.383e-01  -4.53283e-01  148.71  -7.018e-06
   3100   3.885e-01  -8.418e-01  -4.53284e-01  150.07  -5.102e-06
   3200   3.843e-01  -8.375e-01  -4.53249e-01  148.45  -8.200e-06
   3300   3.702e-01  -8.235e-01  -4.53253e-01  143.02  -1.788e-06
   3400   3.831e-01  -8.363e-01  -4.53201e-01  147.99  -3.221e-06
   3500   3.829e-01  -8.361e-01  -4.53196e-01  147.90  -5.147e-06
   3600   3.894e-01  -8.426e-01  -4.53214e-01  150.42  -5.482e-06
   3700   3.890e-01  -8.423e-01  -4.53233e-01  150.28  -3.721e-06
   3800   3.852e-01  -8.384e-01  -4.53234e-01  148.79  7.415e-07
   3900   3.912e-01  -8.444e-01  -4.53198e-01  151.11  -5.010e-06
   4000   4.051e-01  -8.584e-01  -4.53239e-01  156.50  -1.722e-05
   4100   4.124e-01  -8.656e-01  -4.53211e-01  159.32  -1.228e-05
   4200   4.126e-01  -8.659e-01  -4.53270e-01  159.39  -8.547e-06
   4300   3.802e-01  -8.335e-01  -4.53252e-01  146.88  2.765e-06
   4400   3.872e-01  -8.404e-01  -4.53203e-01  149.58  1.829e-06
   4500   3.869e-01  -8.401e-01  -4.53200e-01  149.45  -4.007e-06
   4600   3.821e-01  -8.353e-01  -4.53141e-01  147.61  -9.251e-06
   4700   3.787e-01  -8.318e-01  -4.53182e-01  146.27  -9.225e-06
   4800   3.915e-01  -8.448e-01  -4.53258e-01  151.24  -1.024e-05
   4900   3.822e-01  -8.354e-01  -4.53244e-01  147.64  -3.914e-06
   5000   3.797e-01  -8.329e-01  -4.53209e-01  146.69  -7.005e-06
   5100   3.800e-01  -8.332e-01  -4.53289e-01  146.77  -7.550e-06
   5200   3.832e-01  -8.365e-01  -4.53262e-01  148.03  -1.360e-05
   5300   3.770e-01  -8.303e-01  -4.53294e-01  145.64  -8.829e-06
   5400   3.554e-01  -8.086e-01  -4.53217e-01  137.28  4.077e-06
   5500   3.687e-01  -8.219e-01  -4.53281e-01  142.41  1.493e-06
   5600   3.973e-01  -8.507e-01  -4.53306e-01  153.49  -8.034e-06
   5700   3.973e-01  -8.506e-01  -4.53299e-01  153.48  -9.154e-06
   5800   3.750e-01  -8.282e-01  -4.53275e-01  144.85  1.140e-06
   5900   3.879e-01  -8.412e-01  -4.53282e-01  149.84  -4.096e-06
   6000   4.032e-01  -8.565e-01  -4.53283e-01  155.77  -1.114e-05
   6100   3.816e-01  -8.348e-01  -4.53245e-01  147.41  -3.359e-06
   6200   3.889e-01  -8.422e-01  -4.53286e-01  150.24  -5.284e-06
   6300   3.862e-01  -8.394e-01  -4.53198e-01  149.18  -1.666e-06
   6400   3.714e-01  -8.246e-01  -4.53188e-01  143.47  4.096e-06
   6500   3.665e-01  -8.197e-01  -4.53201e-01  141.56  1.751e-06
   6600   3.889e-01  -8.421e-01  -4.53177e-01  150.24  -1.253e-05
   6700   3.831e-01  -8.363e-01  -4.53182e-01  147.99  -5.425e-06
   6800   3.913e-01  -8.446e-01  -4.53245e-01  151.16  -5.215e-06
   6900   3.964e-01  -8.496e-01  -4.53255e-01  153.11  -1.469e-05
   7000   3.669e-01  -8.201e-01  -4.53258e-01  141.72  -2.690e-06
   7100   3.863e-01  -8.396e-01  -4.53246e-01  149.24  -8.660e-06
   7200   3.949e-01  -8.482e-01  -4.53301e-01  152.56  -1.219e-05
   7300   4.027e-01  -8.560e-01  -4.53253e-01  155.57  -8.018e-06
   7400   3.755e-01  -8.288e-01  -4.53280e-01  145.05  6.807e-06
   7500   3.737e-01  -8.270e-01  -4.53299e-01  144.36  3.338e-06
   7600   3.982e-01  -8.515e-01  -4.53331e-01  153.82  -5.539e-06
   7700   3.767e-01  -8.300e-01  -4.53311e-01  145.50  1.332e-06
   7800   3.611e-01  -8.144e-01  -4.53255e-01  139.50  3.878e-06
   7900   3.504e-01  -8.036e-01  -4.53275e-01  135.34  4.171e-06
   8000   3.923e-01  -8.456e-01  -4.53270e-01  151.55  -7.722e-06
   8100   3.729e-01  -8.263e-01  -4.53327e-01  144.06  2.523e-06
   8200   4.079e-01  -8.613e-01  -4.53314e-01  157.59  -1.454e-05
   8300   3.694e-01  -8.227e-01  -4.53304e-01  142.70  6.164e-06
   8400   3.938e-01  -8.471e-01  -4.53287e-01  152.11  6.710e-06
   8500   4.148e-01  -8.681e-01  -4.53285e-01  160.24  -8.123e-07
   8600   4.013e-01  -8.546e-01  -4.53322e-01  155.03  -2.369e-06
   8700   3.897e-01  -8.430e-01  -4.53329e-01  150.53  5.935e-06
   8800   3.898e-01  -8.431e-01  -4.53328e-01  150.56  1.930e-06
   8900   3.798e-01  -8.332e-01  -4.53337e-01  146.73  6.316e-06
   9000   3.887e-01  -8.420e-01  -4.53315e-01  150.14  4.468e-06
   9100   4.060e-01  -8.593e-01  -4.53307e-01  156.84  -8.248e-06
   9200   3.735e-01  -8.268e-01  -4.53260e-01  144.28  -2.590e-06
   9300   3.675e-01  -8.207e-01  -4.53285e-01  141.94  -6.538e-06
   9400   3.799e-01  -8.331e-01  -4.53222e-01  146.75  -9.697e-06
   9500   3.864e-01  -8.396e-01  -4.53240e-01  149.26  -1.144e-05
   9600   3.685e-01  -8.217e-01  -4.53247e-01  142.34  1.846e-06
   9700   3.901e-01  -8.433e-01  -4.53236e-01  150.68  -9.066e-06
   9800   3.875e-01  -8.407e-01  -4.53295e-01  149.67  -1.172e-05
   9900   3.797e-01  -8.329e-01  -4.53249e-01  146.66  -6.792e-06
  10000   3.805e-01  -8.338e-01  -4.53291e-01  146.97  -4.205e-06
Simulation Complete!
Total simulation time:              1.347 secs
Force/energy time:                  1.320 secs (98.01%)
Position/velocity update time:      0.012 secs ( 0.90%)
Thermo/trajectory output time:      0.014 secs ( 1.01%)
Time taken: 1.347082 seconds
